"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Duran, Jarren","680776","2024","735","515",0.285,0.28,0.004999999999999949,0.492,0.464,0.02799999999999997,0.357,0.346,0.01100000000000001
"Ohtani, Shohei","660271","2024","731","479",0.31,0.32,-0.010000000000000009,0.646,0.678,-0.03200000000000003,0.431,0.448,-0.017000000000000015
"Henderson, Gunnar","683002","2024","719","475",0.281,0.289,-0.007999999999999952,0.529,0.505,0.02400000000000002,0.381,0.379,0.0020000000000000018
"Semien, Marcus","543760","2024","718","546",0.237,0.257,-0.020000000000000018,0.391,0.404,-0.013000000000000012,0.306,0.319,-0.013000000000000012
"Soto, Juan","665742","2024","713","461",0.288,0.319,-0.031000000000000028,0.569,0.658,-0.08900000000000008,0.421,0.463,-0.04200000000000004
"Witt Jr., Bobby","677951","2024","709","538",0.332,0.321,0.01100000000000001,0.588,0.594,-0.006000000000000005,0.41,0.413,-0.0030000000000000027
"Judge, Aaron","592450","2024","704","390",0.322,0.315,0.007000000000000006,0.701,0.742,-0.041000000000000036,0.476,0.484,-0.008000000000000007
"Guerrero Jr., Vladimir","665489","2024","697","524",0.323,0.323,0,0.544,0.576,-0.03199999999999992,0.398,0.41,-0.011999999999999955
"De La Cruz, Elly","682829","2024","696","403",0.259,0.244,0.015000000000000013,0.471,0.438,0.032999999999999974,0.349,0.331,0.01799999999999996
"Tovar, Ezequiel","678662","2024","695","467",0.269,0.235,0.03400000000000003,0.469,0.406,0.06299999999999994,0.324,0.289,0.03500000000000003
"Alonso, Pete","624413","2024","695","440",0.24,0.246,-0.006000000000000005,0.459,0.47,-0.010999999999999954,0.34,0.345,-0.004999999999999949
"Reynolds, Bryan","668804","2024","692","469",0.275,0.272,0.0030000000000000027,0.447,0.472,-0.024999999999999967,0.343,0.352,-0.008999999999999952
"Schwarber, Kyle","656941","2024","692","384",0.248,0.257,-0.009000000000000008,0.485,0.519,-0.03400000000000003,0.366,0.38,-0.014000000000000012
"Lindor, Francisco","596019","2024","689","494",0.273,0.287,-0.013999999999999957,0.5,0.539,-0.039000000000000035,0.363,0.382,-0.019000000000000017
"Volpe, Anthony","683011","2024","689","486",0.243,0.24,0.0030000000000000027,0.364,0.34,0.023999999999999966,0.287,0.28,0.006999999999999951
"Ozuna, Marcell","542303","2024","688","440",0.302,0.29,0.01200000000000001,0.546,0.584,-0.03799999999999992,0.395,0.405,-0.010000000000000009
"Adames, Willy","642715","2024","688","440",0.251,0.248,0.0030000000000000027,0.462,0.474,-0.011999999999999955,0.342,0.344,-0.0019999999999999463
